Clip Name,From,To,Parents,Transition Frame,IsActive,State Machine Paths,Duration,LoopCheck,TangentCheck,Previewed?,Exported?,Rendered,Cycles Reviewed,Post Processed,Video player OK,Video player notes,,,,,,,,,,
Right_IdleC,9304,9630,Right,,FALSE,,327,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_Panting,9630,9966,Right,,TRUE,,337,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_Shy,9966,10447,Right,,TRUE,,482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Criag need to rview Alebic export Incsistent Velicty moevemtn in blender (Guy),,,,,,,,,,
Right_Still,10447,10672,Right,,FASLE,,226,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Eyey Size chhanging PP (Needs to be run through pp - eye colour changing throughout sequence),,,,,,,,,,
Right_TasteAir,10672,10889,Right,,TRUE,,218,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Stuttering: 10754 Frame Freezes in Blend File- Need Craig to look at this,,,,,,,,,,
Right_Shuffle,10889,11076,Right,,FALSE,,188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,10913 Duplicet Frame need craig to look at ,,,,,,,,,,
Right_Obedient,11076,11701,Right,,TRUE,,626,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_Stare,11701,12062,Right,,TRUE,,362,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Stuttery (Eyes are changin size),,,,,,,,,,
Right_Sleepy,12062,12399,Right,,FALSE,,338,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Stuttering: 8166 Frame Freezes in Blend File- Need Craig to look at this,,,,,,,,,,
Front_IdleB_Transition_A,12520,12550,Front/Front_IdleB,712,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_IdleB_Transition_B,12640,12670,Front/Front_IdleB,832,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_ShakeHead_Transition_A,12848,12878,Front/Front_ShakeHead,1129,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_SmellAir_Transition_A,13009,13039,Front/Front_SmellAir,1290,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_SmellAir_Transition_B,13129,13159,Front/Front_SmellAir,1410,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_IdleC_Transition_A,13279,13309,Front/Front_IdleC,1550,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_IdleC_Transition_B,13399,13429,Front/Front_IdleC,1670,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Panting_Transition_A,13604,13634,Front/Front_Panting,1875,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Panting_Transition_B,13724,13754,Front/Front_Panting,1995,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Shy_Transition_A,13939,13969,Front/Front_Shy,2210,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Shy_Transition_B,14059,14089,Front/Front_Shy,2330,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Shy_Transition_C,14179,14209,Front/Front_Shy,2450,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Still_Transition_A,14419,14449,Front/Front_Still,2690,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Movement so small - impossible to tell,,,,,,,,,,
Front_TasteAir_Tansition_A,14619,14649,Front/Front_TasteAir,2890,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_Shuffle_Transition_A,14859,14889,Front/Front_Shuffle,3130,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_Obedient_Transition_A,15045,15075,Front/Front_Obedient,3316,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Doesn't appear to have anymore movement? ,,,,,,,,,,
Front_Obedient_Transition_B,15165,15195,Front/Front_Obedient,3436,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Doesn't appear to have anymore movement? ,,,,,,,,,,
Front_Obedient_Transition_C,15285,15315,Front/Front_Obedient,3556,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Doesn't appear to have anymore movement? ,,,,,,,,,,
